"Periodo","Trimestre móvil cronológico","Poblacion total GEIH DANE","Poblacion en edad de trabajar","Fuerza de trabajo","Ocupados","Desocupados","Poblacion fuera de la fuerza laboral","Subocupados","Fuerza de trabajo potencial","Ocupados  asalariados","Ocupados no asalariados","Total informales DANE ","Porcentaje poblacion en edad de trabajar","Tasa global de participacion","Tasa de ocupacion","Tasa de desocupacion","Tasa de subocupados","Tasa ocupados asalariados","Tasa ocupados  no asalariados","Tasa fuerza potencial de trabajo","Tasa  de informalidad DANE ","COMPRAVENTAS","PIB a precios corrientes","PIB a precios constantes del 2015","Variación anual precios constantes 2015 ","Variacion trimestral precios constantes 2015","Variacion anual precios corrientes","Variacion trimestral precios corrientes","No CONTRIBUYENTES","VALOR APORTE VOLUNTARIO","Salario Mínimo","Variación vs año anterior","Casas (Variacion Anual)","Apartamentos (Variacion Anual)"
"2005","1.00","","","","","","","","","","","","","","","","","","","","","","7199.43","10985.43","","","","","","","381500.00","0.07","14.38","10.48"
"2005","1.00","","","","","","","","","","","","","","","","","","","","","","7199.43","10985.43","","","","","","","381500.00","0.07","14.38","10.48"
"2005","1.00","","","","","","","","","","","","","","","","","","","","","","7199.43","10985.43","","","","","","","381500.00","0.07","14.38","10.48"
"2005","2.00","","","","","","","","","","","","","","","","","","","","","","7468.32","11237.16","","0.76","","1.24","","","381500.00","0.07","12.01","6.79"
"2005","2.00","","","","","","","","","","","","","","","","","","","","","","7468.32","11237.16","","0.76","","1.24","","","381500.00","0.07","12.01","6.79"
"2005","2.00","","","","","","","","","","","","","","","","","","","","","","7468.32","11237.16","","0.76","","1.24","","","381500.00","0.07","12.01","6.79"
"2005","3.00","","","","","","","","","","","","","","","","","","","","","","7604.49","11386.08","","0.44","","0.61","","","381500.00","0.07","9.64","4.56"
"2005","3.00","","","","","","","","","","","","","","","","","","","","","","7604.49","11386.08","","0.44","","0.61","","","381500.00","0.07","9.64","4.56"
"2005","3.00","","","","","","","","","","","","","","","","","","","","","","7604.49","11386.08","","0.44","","0.61","","","381500.00","0.07","9.64","4.56"
"2005","4.00","","","","","","","","","","","","","","","","","","","","","","7671.69","11462.95","","0.23","","0.29","","","381500.00","0.07","9.83","6.07"
"2005","4.00","","","","","","","","","","","","","","","","","","","","","","7671.69","11462.95","","0.23","","0.29","","","381500.00","0.07","9.83","6.07"
"2005","4.00","","","","","","","","","","","","","","","","","","","","","","7671.69","11462.95","","0.23","","0.29","","","381500.00","0.07","9.83","6.07"
"2006","1.00","","","","","","","","","","","","","","","","","","","","","","7992.08","11729.68","2.26","0.78","3.67","1.39","1993.33","46538570.83","408000.00","0.07","3.58","5.04"
"2006","1.00","","","","","","","","","","","","","","","","","","","","","","7992.08","11729.68","2.26","0.78","3.67","1.39","1993.33","46538570.83","408000.00","0.07","3.58","5.04"
"2006","1.00","","","","","","","","","","","","","","","","","","","","","","7992.08","11729.68","2.26","0.78","3.67","1.39","1993.33","46538570.83","408000.00","0.07","3.58","5.04"
"2006","2.00","","","","","","","","","","","","","","","","","","","","","","8252.80","11941.51","2.09","0.60","3.50","1.09","1993.33","46538570.83","408000.00","0.07","1.32","6.41"
